match_id,match_num,year,cup_name,round,date,time,team1,team2,team1_normalized,team2_normalized,team1_score_final,team2_score_final,total_goals_final,winner,loser,is_draw,goal_difference,group,ground,status,match_played,has_goals_events
1954_26,,1954,World Cup 1954,Final,1954-07-04,,Hungary,West Germany,Hungary,Germany,2.0,3.0,5.0,Germany,Hungary,False,1.0,,"Wankdorf Stadium, Bern",played,True,False
1958_1,,1958,World Cup 1958,Matchday 1,1958-06-08,,West Germany,Argentina,Germany,Argentina,3.0,1.0,4.0,Germany,Argentina,False,2.0,Group 1,"Malmö Stadion, Malmö",played,True,False
1958_2,,1958,World Cup 1958,Matchday 1,1958-06-08,,Northern Ireland,Czechoslovakia,Northern Ireland,Czech Republic,1.0,0.0,1.0,Northern Ireland,Czech Republic,False,1.0,Group 1,"Örjans Vall, Halmstad",played,True,False
1958_3,,1958,World Cup 1958,Matchday 2,1958-06-11,,Argentina,Northern Ireland,Argentina,Northern Ireland,3.0,1.0,4.0,Argentina,Northern Ireland,False,2.0,Group 1,"Örjans Vall, Halmstad",played,True,False
1958_4,,1958,World Cup 1958,Matchday 2,1958-06-11,,West Germany,Czechoslovakia,Germany,Czech Republic,2.0,2.0,4.0,,,True,0.0,Group 1,"Olympiastadion, Helsingborg",played,True,False
1958_5,,1958,World Cup 1958,Matchday 3,1958-06-15,,West Germany,Northern Ireland,Germany,Northern Ireland,2.0,2.0,4.0,,,True,0.0,Group 1,"Malmö Stadion, Malmö",played,True,False
1958_6,,1958,World Cup 1958,Matchday 3,1958-06-15,,Czechoslovakia,Argentina,Czech Republic,Argentina,6.0,1.0,7.0,Czech Republic,Argentina,False,5.0,Group 1,"Olympiastadion, Helsingborg",played,True,False
1958_7,,1958,World Cup 1958,Group 1 Play-off,1958-06-17,,Northern Ireland,Czechoslovakia,Northern Ireland,Czech Republic,2.0,1.0,3.0,Northern Ireland,Czech Republic,False,1.0,,"Malmö Stadion, Malmö",played,True,False
1958_8,,1958,World Cup 1958,Matchday 1,1958-06-08,,France,Paraguay,France,Paraguay,7.0,3.0,10.0,France,Paraguay,False,4.0,Group 2,"Idrottsparken, Norrköping",played,True,False
1958_9,,1958,World Cup 1958,Matchday 1,1958-06-08,,Yugoslavia,Scotland,Serbia,Scotland,1.0,1.0,2.0,,,True,0.0,Group 2,"Arosvallen, Västerås",played,True,False
1958_10,,1958,World Cup 1958,Matchday 2,1958-06-11,,Yugoslavia,France,Serbia,France,3.0,2.0,5.0,Serbia,France,False,1.0,Group 2,"Arosvallen, Västerås",played,True,False
1958_11,,1958,World Cup 1958,Matchday 2,1958-06-11,,Paraguay,Scotland,Paraguay,Scotland,3.0,2.0,5.0,Paraguay,Scotland,False,1.0,Group 2,"Idrottsparken, Norrköping",played,True,False
1958_12,,1958,World Cup 1958,Matchday 3,1958-06-15,,France,Scotland,France,Scotland,2.0,1.0,3.0,France,Scotland,False,1.0,Group 2,"Eyravallen, Örebro",played,True,False
1958_13,,1958,World Cup 1958,Matchday 3,1958-06-15,,Paraguay,Yugoslavia,Paraguay,Serbia,3.0,3.0,6.0,,,True,0.0,Group 2,"Tunavallen, Eskilstuna",played,True,False
1958_14,,1958,World Cup 1958,Matchday 1,1958-06-08,,Sweden,Mexico,Sweden,Mexico,3.0,0.0,3.0,Sweden,Mexico,False,3.0,Group 3,"Råsunda Stadium, Solna",played,True,False
1958_15,,1958,World Cup 1958,Matchday 1,1958-06-08,,Hungary,Wales,Hungary,Wales,1.0,1.0,2.0,,,True,0.0,Group 3,"Jernvallen, Sandviken",played,True,False
1958_16,,1958,World Cup 1958,Matchday 2,1958-06-11,,Mexico,Wales,Mexico,Wales,1.0,1.0,2.0,,,True,0.0,Group 3,"Råsunda Stadium, Solna",played,True,False
1958_17,,1958,World Cup 1958,Matchday 2,1958-06-12,,Sweden,Hungary,Sweden,Hungary,2.0,1.0,3.0,Sweden,Hungary,False,1.0,Group 3,"Råsunda Stadium, Solna",played,True,False
1958_18,,1958,World Cup 1958,Matchday 3,1958-06-15,,Sweden,Wales,Sweden,Wales,0.0,0.0,0.0,,,True,0.0,Group 3,"Råsunda Stadium, Solna",played,True,False
1958_19,,1958,World Cup 1958,Matchday 3,1958-06-15,,Hungary,Mexico,Hungary,Mexico,4.0,0.0,4.0,Hungary,Mexico,False,4.0,Group 3,"Jernvallen, Sandviken",played,True,False
1958_20,,1958,World Cup 1958,Group 3 Play-off,1958-06-17,,Wales,Hungary,Wales,Hungary,2.0,1.0,3.0,Wales,Hungary,False,1.0,,"Råsunda Stadium, Solna",played,True,False
1958_21,,1958,World Cup 1958,Matchday 1,1958-06-08,,Brazil,Austria,Brazil,Austria,3.0,0.0,3.0,Brazil,Austria,False,3.0,Group 4,"Rimnersvallen, Uddevalla",played,True,False
1958_22,,1958,World Cup 1958,Matchday 1,1958-06-08,,Soviet Union,England,Russia,England,2.0,2.0,4.0,,,True,0.0,Group 4,"Ullevi, Gothenburg",played,True,False
1958_23,,1958,World Cup 1958,Matchday 2,1958-06-11,,Brazil,England,Brazil,England,0.0,0.0,0.0,,,True,0.0,Group 4,"Ullevi, Gothenburg",played,True,False
1958_24,,1958,World Cup 1958,Matchday 2,1958-06-11,,Soviet Union,Austria,Russia,Austria,2.0,0.0,2.0,Russia,Austria,False,2.0,Group 4,"Ryavallen, Borås",played,True,False
