match_id,year,cup_name,round,date,team,opponent,goals_for,goals_against,goal_difference,is_winner,is_draw,is_loser,match_played
1954_6,1954,World Cup 1954,Matchday 1,1954-06-17,South Korea,Hungary,0,9,-9,False,False,True,True
1954_7,1954,World Cup 1954,Matchday 2,1954-06-20,Hungary,West Germany,8,3,5,True,False,False,True
1954_7,1954,World Cup 1954,Matchday 2,1954-06-20,West Germany,Hungary,3,8,-5,False,False,True,True
1954_8,1954,World Cup 1954,Matchday 2,1954-06-20,Turkey,South Korea,7,0,7,True,False,False,True
1954_8,1954,World Cup 1954,Matchday 2,1954-06-20,South Korea,Turkey,0,7,-7,False,False,True,True
1954_9,1954,World Cup 1954,Group 2 Play-off,1954-06-23,West Germany,Turkey,7,2,5,True,False,False,True
1954_9,1954,World Cup 1954,Group 2 Play-off,1954-06-23,Turkey,West Germany,2,7,-5,False,False,True,True
1954_10,1954,World Cup 1954,Matchday 1,1954-06-16,Uruguay,Czechoslovakia,2,0,2,True,False,False,True
1954_10,1954,World Cup 1954,Matchday 1,1954-06-16,Czechoslovakia,Uruguay,0,2,-2,False,False,True,True
1954_11,1954,World Cup 1954,Matchday 1,1954-06-16,Austria,Scotland,1,0,1,True,False,False,True
1954_11,1954,World Cup 1954,Matchday 1,1954-06-16,Scotland,Austria,0,1,-1,False,False,True,True
1954_12,1954,World Cup 1954,Matchday 2,1954-06-19,Austria,Czechoslovakia,5,0,5,True,False,False,True
1954_12,1954,World Cup 1954,Matchday 2,1954-06-19,Czechoslovakia,Austria,0,5,-5,False,False,True,True
1954_13,1954,World Cup 1954,Matchday 2,1954-06-19,Uruguay,Scotland,7,0,7,True,False,False,True
1954_13,1954,World Cup 1954,Matchday 2,1954-06-19,Scotland,Uruguay,0,7,-7,False,False,True,True
1954_14,1954,World Cup 1954,Matchday 1,1954-06-17,England,Belgium,4,4,0,False,True,False,True
1954_14,1954,World Cup 1954,Matchday 1,1954-06-17,Belgium,England,4,4,0,False,True,False,True
1954_15,1954,World Cup 1954,Matchday 1,1954-06-17,Switzerland,Italy,2,1,1,True,False,False,True
1954_15,1954,World Cup 1954,Matchday 1,1954-06-17,Italy,Switzerland,1,2,-1,False,False,True,True
1954_16,1954,World Cup 1954,Matchday 2,1954-06-20,England,Switzerland,2,0,2,True,False,False,True
1954_16,1954,World Cup 1954,Matchday 2,1954-06-20,Switzerland,England,0,2,-2,False,False,True,True
1954_17,1954,World Cup 1954,Matchday 2,1954-06-20,Italy,Belgium,4,1,3,True,False,False,True
1954_17,1954,World Cup 1954,Matchday 2,1954-06-20,Belgium,Italy,1,4,-3,False,False,True,True
1954_18,1954,World Cup 1954,Group 4 Play-off,1954-06-23,Switzerland,Italy,4,1,3,True,False,False,True
1954_18,1954,World Cup 1954,Group 4 Play-off,1954-06-23,Italy,Switzerland,1,4,-3,False,False,True,True
1954_19,1954,World Cup 1954,Quarter-finals,1954-06-26,Austria,Switzerland,7,5,2,True,False,False,True
1954_19,1954,World Cup 1954,Quarter-finals,1954-06-26,Switzerland,Austria,5,7,-2,False,False,True,True
1954_20,1954,World Cup 1954,Quarter-finals,1954-06-26,Uruguay,England,4,2,2,True,False,False,True
1954_20,1954,World Cup 1954,Quarter-finals,1954-06-26,England,Uruguay,2,4,-2,False,False,True,True
1954_21,1954,World Cup 1954,Quarter-finals,1954-06-27,Yugoslavia,West Germany,0,2,-2,False,False,True,True
1954_21,1954,World Cup 1954,Quarter-finals,1954-06-27,West Germany,Yugoslavia,2,0,2,True,False,False,True
1954_22,1954,World Cup 1954,Quarter-finals,1954-06-27,Brazil,Hungary,2,4,-2,False,False,True,True
1954_22,1954,World Cup 1954,Quarter-finals,1954-06-27,Hungary,Brazil,4,2,2,True,False,False,True
1954_23,1954,World Cup 1954,Semi-finals,1954-06-30,West Germany,Austria,6,1,5,True,False,False,True
1954_23,1954,World Cup 1954,Semi-finals,1954-06-30,Austria,West Germany,1,6,-5,False,False,True,True
1954_24,1954,World Cup 1954,Semi-finals,1954-06-30,Hungary,Uruguay,4,2,2,True,False,False,True
1954_24,1954,World Cup 1954,Semi-finals,1954-06-30,Uruguay,Hungary,2,4,-2,False,False,True,True
1954_25,1954,World Cup 1954,Third-place match,1954-07-03,Uruguay,Austria,1,3,-2,False,False,True,True
1954_25,1954,World Cup 1954,Third-place match,1954-07-03,Austria,Uruguay,3,1,2,True,False,False,True
1954_26,1954,World Cup 1954,Final,1954-07-04,Hungary,West Germany,2,3,-1,False,False,True,True
1954_26,1954,World Cup 1954,Final,1954-07-04,West Germany,Hungary,3,2,1,True,False,False,True
1958_1,1958,World Cup 1958,Matchday 1,1958-06-08,West Germany,Argentina,3,1,2,True,False,False,True
1958_1,1958,World Cup 1958,Matchday 1,1958-06-08,Argentina,West Germany,1,3,-2,False,False,True,True
1958_2,1958,World Cup 1958,Matchday 1,1958-06-08,Northern Ireland,Czechoslovakia,1,0,1,True,False,False,True
1958_2,1958,World Cup 1958,Matchday 1,1958-06-08,Czechoslovakia,Northern Ireland,0,1,-1,False,False,True,True
1958_3,1958,World Cup 1958,Matchday 2,1958-06-11,Argentina,Northern Ireland,3,1,2,True,False,False,True
1958_3,1958,World Cup 1958,Matchday 2,1958-06-11,Northern Ireland,Argentina,1,3,-2,False,False,True,True
1958_4,1958,World Cup 1958,Matchday 2,1958-06-11,West Germany,Czechoslovakia,2,2,0,False,True,False,True
1958_4,1958,World Cup 1958,Matchday 2,1958-06-11,Czechoslovakia,West Germany,2,2,0,False,True,False,True
1958_5,1958,World Cup 1958,Matchday 3,1958-06-15,West Germany,Northern Ireland,2,2,0,False,True,False,True
1958_5,1958,World Cup 1958,Matchday 3,1958-06-15,Northern Ireland,West Germany,2,2,0,False,True,False,True
1958_6,1958,World Cup 1958,Matchday 3,1958-06-15,Czechoslovakia,Argentina,6,1,5,True,False,False,True
1958_6,1958,World Cup 1958,Matchday 3,1958-06-15,Argentina,Czechoslovakia,1,6,-5,False,False,True,True
1958_7,1958,World Cup 1958,Group 1 Play-off,1958-06-17,Northern Ireland,Czechoslovakia,2,1,1,True,False,False,True
1958_7,1958,World Cup 1958,Group 1 Play-off,1958-06-17,Czechoslovakia,Northern Ireland,1,2,-1,False,False,True,True
1958_8,1958,World Cup 1958,Matchday 1,1958-06-08,France,Paraguay,7,3,4,True,False,False,True
1958_8,1958,World Cup 1958,Matchday 1,1958-06-08,Paraguay,France,3,7,-4,False,False,True,True
1958_9,1958,World Cup 1958,Matchday 1,1958-06-08,Yugoslavia,Scotland,1,1,0,False,True,False,True
1958_9,1958,World Cup 1958,Matchday 1,1958-06-08,Scotland,Yugoslavia,1,1,0,False,True,False,True
1958_10,1958,World Cup 1958,Matchday 2,1958-06-11,Yugoslavia,France,3,2,1,True,False,False,True
1958_10,1958,World Cup 1958,Matchday 2,1958-06-11,France,Yugoslavia,2,3,-1,False,False,True,True
1958_11,1958,World Cup 1958,Matchday 2,1958-06-11,Paraguay,Scotland,3,2,1,True,False,False,True
1958_11,1958,World Cup 1958,Matchday 2,1958-06-11,Scotland,Paraguay,2,3,-1,False,False,True,True
1958_12,1958,World Cup 1958,Matchday 3,1958-06-15,France,Scotland,2,1,1,True,False,False,True
1958_12,1958,World Cup 1958,Matchday 3,1958-06-15,Scotland,France,1,2,-1,False,False,True,True
1958_13,1958,World Cup 1958,Matchday 3,1958-06-15,Paraguay,Yugoslavia,3,3,0,False,True,False,True
1958_13,1958,World Cup 1958,Matchday 3,1958-06-15,Yugoslavia,Paraguay,3,3,0,False,True,False,True
1958_14,1958,World Cup 1958,Matchday 1,1958-06-08,Sweden,Mexico,3,0,3,True,False,False,True
1958_14,1958,World Cup 1958,Matchday 1,1958-06-08,Mexico,Sweden,0,3,-3,False,False,True,True
1958_15,1958,World Cup 1958,Matchday 1,1958-06-08,Hungary,Wales,1,1,0,False,True,False,True
1958_15,1958,World Cup 1958,Matchday 1,1958-06-08,Wales,Hungary,1,1,0,False,True,False,True
1958_16,1958,World Cup 1958,Matchday 2,1958-06-11,Mexico,Wales,1,1,0,False,True,False,True
1958_16,1958,World Cup 1958,Matchday 2,1958-06-11,Wales,Mexico,1,1,0,False,True,False,True
1958_17,1958,World Cup 1958,Matchday 2,1958-06-12,Sweden,Hungary,2,1,1,True,False,False,True
1958_17,1958,World Cup 1958,Matchday 2,1958-06-12,Hungary,Sweden,1,2,-1,False,False,True,True
1958_18,1958,World Cup 1958,Matchday 3,1958-06-15,Sweden,Wales,0,0,0,False,True,False,True
1958_18,1958,World Cup 1958,Matchday 3,1958-06-15,Wales,Sweden,0,0,0,False,True,False,True
1958_19,1958,World Cup 1958,Matchday 3,1958-06-15,Hungary,Mexico,4,0,4,True,False,False,True
1958_19,1958,World Cup 1958,Matchday 3,1958-06-15,Mexico,Hungary,0,4,-4,False,False,True,True
1958_20,1958,World Cup 1958,Group 3 Play-off,1958-06-17,Wales,Hungary,2,1,1,True,False,False,True
1958_20,1958,World Cup 1958,Group 3 Play-off,1958-06-17,Hungary,Wales,1,2,-1,False,False,True,True
1958_21,1958,World Cup 1958,Matchday 1,1958-06-08,Brazil,Austria,3,0,3,True,False,False,True
1958_21,1958,World Cup 1958,Matchday 1,1958-06-08,Austria,Brazil,0,3,-3,False,False,True,True
1958_22,1958,World Cup 1958,Matchday 1,1958-06-08,Soviet Union,England,2,2,0,False,True,False,True
1958_22,1958,World Cup 1958,Matchday 1,1958-06-08,England,Soviet Union,2,2,0,False,True,False,True
1958_23,1958,World Cup 1958,Matchday 2,1958-06-11,Brazil,England,0,0,0,False,True,False,True
1958_23,1958,World Cup 1958,Matchday 2,1958-06-11,England,Brazil,0,0,0,False,True,False,True
1958_24,1958,World Cup 1958,Matchday 2,1958-06-11,Soviet Union,Austria,2,0,2,True,False,False,True
1958_24,1958,World Cup 1958,Matchday 2,1958-06-11,Austria,Soviet Union,0,2,-2,False,False,True,True
1958_25,1958,World Cup 1958,Matchday 3,1958-06-15,England,Austria,2,2,0,False,True,False,True
1958_25,1958,World Cup 1958,Matchday 3,1958-06-15,Austria,England,2,2,0,False,True,False,True
1958_26,1958,World Cup 1958,Matchday 3,1958-06-15,Brazil,Soviet Union,2,0,2,True,False,False,True
1958_26,1958,World Cup 1958,Matchday 3,1958-06-15,Soviet Union,Brazil,0,2,-2,False,False,True,True
1958_27,1958,World Cup 1958,Group 4 Play-off,1958-06-17,Soviet Union,England,1,0,1,True,False,False,True
