match_id,year,cup_name,round,date,team1,team2,team1_score,team2_score,team1_ht_score,team2_ht_score,group,ground
1958_24,1958,World Cup 1958,Matchday 2,1958-06-11,Soviet Union,Austria,2.0,0.0,,,Group 4,"Ryavallen, Borås"
1958_25,1958,World Cup 1958,Matchday 3,1958-06-15,England,Austria,2.0,2.0,,,Group 4,"Ryavallen, Borås"
1958_26,1958,World Cup 1958,Matchday 3,1958-06-15,Brazil,Soviet Union,2.0,0.0,,,Group 4,"Ullevi, Gothenburg"
1958_27,1958,World Cup 1958,Group 4 Play-off,1958-06-17,Soviet Union,England,1.0,0.0,,,,"Ullevi, Gothenburg"
1958_28,1958,World Cup 1958,Quarter-finals,1958-06-19,France,Northern Ireland,4.0,0.0,,,,"Idrottsparken, Norrköping"
1958_29,1958,World Cup 1958,Quarter-finals,1958-06-19,Sweden,Soviet Union,2.0,0.0,,,,"Råsunda Stadium, Solna"
1958_30,1958,World Cup 1958,Quarter-finals,1958-06-19,Brazil,Wales,1.0,0.0,,,,"Ullevi, Gothenburg"
1958_31,1958,World Cup 1958,Quarter-finals,1958-06-19,West Germany,Yugoslavia,1.0,0.0,,,,"Malmö Stadion, Malmö"
1958_32,1958,World Cup 1958,Semi-finals,1958-06-24,France,Brazil,2.0,5.0,,,,"Råsunda Stadium, Solna"
1958_33,1958,World Cup 1958,Semi-finals,1958-06-24,West Germany,Sweden,1.0,3.0,,,,"Ullevi, Gothenburg"
1958_34,1958,World Cup 1958,Match for third place,1958-06-28,West Germany,France,3.0,6.0,,,,"Ullevi, Gothenburg"
1958_35,1958,World Cup 1958,Final,1958-06-29,Sweden,Brazil,2.0,5.0,,,,"Råsunda Stadium, Solna"
1962_1,1962,World Cup 1962,Matchday 1,1962-05-30,Uruguay,Colombia,2.0,1.0,,,Group 1,"Estadio Carlos Dittborn, Arica"
1962_2,1962,World Cup 1962,Matchday 1,1962-05-31,Soviet Union,Yugoslavia,2.0,0.0,,,Group 1,"Estadio Carlos Dittborn, Arica"
1962_3,1962,World Cup 1962,Matchday 2,1962-06-02,Yugoslavia,Uruguay,3.0,1.0,,,Group 1,"Estadio Carlos Dittborn, Arica"
