match_id,year,round,team1_normalized,team2_normalized,team1_score_final,team2_score_final,target,team1_games,team1_wins,team1_goals_for,team1_goals_against,team1_goal_difference,team1_win_rate,team1_goals_per_game,team1_goals_against_per_game,team2_games,team2_wins,team2_goals_for,team2_goals_against,team2_goal_difference,team2_win_rate,team2_goals_per_game,team2_goals_against_per_game,win_rate_diff,goals_per_game_diff,goals_against_per_game_diff,goal_difference_diff,experience_diff
1950_22,1950,Final Round,Uruguay,Brazil,2.0,1.0,team1_win,59,25,89,76,13,0.423728813559322,1.5084745762711864,1.2881355932203389,114,76,237,108,129,0.6666666666666666,2.0789473684210527,0.9473684210526316,-0.24293785310734461,-0.5704727921498662,0.34076717216770724,-116,-55
1954_1,1954,Matchday 1,Brazil,Mexico,5.0,0.0,team1_win,114,76,237,108,129,0.6666666666666666,2.0789473684210527,0.9473684210526316,60,17,62,101,-39,0.2833333333333333,1.0333333333333334,1.6833333333333331,0.3833333333333333,1.0456140350877192,-0.7359649122807015,168,54
1954_2,1954,Matchday 1,Serbia,France,1.0,0.0,team1_win,46,18,69,61,8,0.391304347826087,1.5,1.326086956521739,73,39,136,85,51,0.5342465753424658,1.8630136986301369,1.1643835616438356,-0.1429422275163788,-0.3630136986301369,0.16170339487790342,-43,-27
1954_3,1954,Matchday 2,Brazil,Serbia,1.0,1.0,draw,114,76,237,108,129,0.6666666666666666,2.0789473684210527,0.9473684210526316,46,18,69,61,8,0.391304347826087,1.5,1.326086956521739,0.27536231884057966,0.5789473684210527,-0.3787185354691074,121,68
1954_4,1954,Matchday 2,France,Mexico,3.0,2.0,team1_win,73,39,136,85,51,0.5342465753424658,1.8630136986301369,1.1643835616438356,60,17,62,101,-39,0.2833333333333333,1.0333333333333334,1.6833333333333331,0.25091324200913245,0.8296803652968034,-0.5189497716894975,90,13
1954_5,1954,Matchday 1,Germany,Turkey,4.0,1.0,team1_win,112,68,232,130,102,0.6071428571428571,2.0714285714285716,1.1607142857142858,10,5,20,17,3,0.5,2.0,1.7,0.1071428571428571,0.07142857142857162,-0.5392857142857141,99,102
1954_6,1954,Matchday 1,Hungary,South Korea,9.0,0.0,team1_win,32,15,87,57,30,0.46875,2.71875,1.78125,38,7,39,78,-39,0.1842105263157894,1.0263157894736843,2.0526315789473686,0.2845394736842106,1.6924342105263157,-0.2713815789473686,69,-6
1954_7,1954,Matchday 2,Hungary,Germany,8.0,3.0,team1_win,32,15,87,57,30,0.46875,2.71875,1.78125,112,68,232,130,102,0.6071428571428571,2.0714285714285716,1.1607142857142858,-0.1383928571428571,0.6473214285714284,0.6205357142857142,-72,-80
1954_8,1954,Matchday 2,Turkey,South Korea,7.0,0.0,team1_win,10,5,20,17,3,0.5,2.0,1.7,38,7,39,78,-39,0.1842105263157894,1.0263157894736843,2.0526315789473686,0.3157894736842106,0.9736842105263157,-0.35263157894736863,42,-28
1954_9,1954,Group 2 Play-off,Germany,Turkey,7.0,2.0,team1_win,112,68,232,130,102,0.6071428571428571,2.0714285714285716,1.1607142857142858,10,5,20,17,3,0.5,2.0,1.7,0.1071428571428571,0.07142857142857162,-0.5392857142857141,99,102
1954_10,1954,Matchday 1,Uruguay,Czech Republic,2.0,0.0,team1_win,59,25,89,76,13,0.423728813559322,1.5084745762711864,1.2881355932203389,33,12,47,49,-2,0.3636363636363636,1.4242424242424243,1.4848484848484849,0.060092449922958424,0.08423215202876211,-0.19671289162814598,15,26
1954_11,1954,Matchday 1,Austria,Scotland,1.0,0.0,team1_win,29,12,43,47,-4,0.4137931034482758,1.4827586206896552,1.6206896551724137,23,4,25,41,-16,0.1739130434782608,1.0869565217391304,1.7826086956521738,0.239880059970015,0.39580209895052487,-0.16191904047976013,12,6
1954_12,1954,Matchday 2,Austria,Czech Republic,5.0,0.0,team1_win,29,12,43,47,-4,0.4137931034482758,1.4827586206896552,1.6206896551724137,33,12,47,49,-2,0.3636363636363636,1.4242424242424243,1.4848484848484849,0.05015673981191221,0.05851619644723094,0.13584117032392884,-2,-4
